Name,Address,Phone,Website,Rating,Open_Now,Maps_URL,Location
Peace Estate Agosi temidire community,"R6J5+322, Unnamed Road, Ifo 112105, Ogun State, Nigeria",,,4.0,,https://www.google.com/maps/place/?q=place_id:ChIJ-VkmnA6lOxARZDjcShYtQ8M,"ifo,Ogun state"
G.O.E Realtors Global Services Ltd.,"Abisogun Leigh St, Ogba, Lagos 100218, Lagos, Nigeria",0816 451 6261,https://giwaoluomoenterprises.estateagentsng.com/,5.0,True,https://www.google.com/maps/place/?q=place_id:ChIJDSs4Y4-XOxARztn8Ymm_CjE,"ifo,Ogun state"
Real estate,"#1, Makanjuola avenue Abekoko area, opposite transformer, Abekoko Cl, Ifo 112104, Ogun State, Nigeria",0816 137 9727,,,True,https://www.google.com/maps/place/?q=place_id:ChIJPUJm0jOjOxAR9JXvLRPnblQ,"ifo,Ogun state"
Idunnuoluwa Real Estate Consultancy,"mfm asore oyeyemi nearest, 39 Pipeline Rd, Berger, Ifo 112107, Ogun State, Nigeria",0703 283 0382,,,False,https://www.google.com/maps/place/?q=place_id:ChIJrTohfR6VOxARLPcMdZOEHk8,"ifo,Ogun state"
Fostrich Properties Limited,"10,Kola felix Close, Cele Bus-Stop, Iju, Ifo 112107, Ogun State, Nigeria",0703 205 6283,,,False,https://www.google.com/maps/place/?q=place_id:ChIJeSpaxpaVOxARtdVAkh3_VRE,"ifo,Ogun state"
Olaiya Estate Agent,"Ilaye House, Ifo 112105, Ogun State, Nigeria",0806 641 4015,,,False,https://www.google.com/maps/place/?q=place_id:ChIJBwK3ZA2jOxAR6jmyj9WuT9Y,"ifo,Ogun state"
Gosgra Estate in pakuro,"Olowotedo, gosgra estate, QCR7+439, Abeokuta 110105, Ogun State, Nigeria",,,3.7,True,https://www.google.com/maps/place/?q=place_id:ChIJ10OfT5W_OxARMAMXTUIMsJ8,"ifo,Ogun state"
Finger Of God Estate Consultant,"3 David Obuseh Crescent, Ifo 112105, Ogun State, Nigeria",0802 304 8134,,,False,https://www.google.com/maps/place/?q=place_id:ChIJyZp9uwKjOxARyN9heWf1HCM,"ifo,Ogun state"
Lady B Estate Management,"1,Isasi Bus-Stop, Ifo 112105, Ogun State, Nigeria",0805 540 1560,,,False,https://www.google.com/maps/place/?q=place_id:ChIJZf6h0JujOxARq7PIrl-8feM,"ifo,Ogun state"
The Sure Keys,"Oluyole busstop, Matogun, Ifo 112107, Ogun State, Nigeria",0816 306 8097,,,True,https://www.google.com/maps/place/?q=place_id:ChIJyQKQpJqXOxARWen7fYG2vD4,"ifo,Ogun state"
My Real Estate,"9 Aranse Oluwa street ajayi farm juction, Alagbole Rd, Iju, Lagos 112107, Ogun State, Nigeria",0813 719 1945,,5.0,False,https://www.google.com/maps/place/?q=place_id:ChIJJRXGBf-VOxARfwjGTZGN1dY,"ifo,Ogun state"
Propertyease,"10,Agada Street, Ifo 112105, Ogun State, Nigeria",,,,False,https://www.google.com/maps/place/?q=place_id:ChIJdU_peOOjOxARLSucDzYe6m8,"ifo,Ogun state"
Jumted Properties,"Along Lambe Road, Giwa, Ifo 112105, Ogun State, Nigeria",0806 010 5617,,,False,https://www.google.com/maps/place/?q=place_id:ChIJQ_oIkeWXOxAR3euWpJrRY00,"ifo,Ogun state"
Realty Notion,"16 Fasanya St, Ketu, Lagos 105102, Lagos, Nigeria",0802 386 0439,http://www.realtynotion.com/,4.9,True,https://www.google.com/maps/place/?q=place_id:ChIJh-OhIOGSOxARR1qlJy0wCjo,"ifo,Ogun state"
Vision Properties,"2 Matogun Rd, Ifo 112105, Ogun State, Nigeria",0808 028 1006,,,False,https://www.google.com/maps/place/?q=place_id:ChIJ2YZvqSOXOxAR83QIUe8Kq40,"ifo,Ogun state"
Starshield Real Estate Agency | Houses for sale | land for sale | house for rent,"kehinde, unity estate, 3 Jimoh Raji St, Ibafo 111011, Ogun State, Nigeria",0805 096 5262,,5.0,True,https://www.google.com/maps/place/?q=place_id:ChIJIWIxddDBOxAR-o89RUQwGnw,"ifo,Ogun state"
Treasure Property And Project Management Company,"1a Saint Lucy Estate, Ifo 112105, Ogun State, Nigeria",0802 874 7857,,,False,https://www.google.com/maps/place/?q=place_id:ChIJ1exE_76jOxARxLAUoSs4d2A,"ifo,Ogun state"
Sholard A Square Properties,"41 Lagos-Abeokuta Expy, Ifo 110106, Ogun State, Nigeria",0803 644 6160,,,False,https://www.google.com/maps/place/?q=place_id:ChIJN3jjZeilOxARFDaUmGZW_p0,"ifo,Ogun state"
Lizgo Contractor And Estate Management,"37 Olusegun Osoba Way, Ifako-Ijaiye, Ifo 112105, Ogun State, Nigeria",,,,False,https://www.google.com/maps/place/?q=place_id:ChIJ2f1bTWdNOhAR7ad3pkeSDpM,"ifo,Ogun state"
Update Properties Agent,"34 Abeo Asorobi Cresent, Ifako-Ijaiye, Ifo 112105, Ogun State, Nigeria",0813 030 5688,,,False,https://www.google.com/maps/place/?q=place_id:ChIJDXsYVvmXOxARDQVw0kEchsI,"ifo,Ogun state"
GOD'S OF MERCY & INDUSTTRIAL REAL ESTATE AGENCY,"4, Olawore closed balee Ajuwon lagos, Alagbole 112005, Ogun State, Nigeria",0802 839 8874,,,False,https://www.google.com/maps/place/?q=place_id:ChIJ3aVb2tqVOxARkKHNG3btSk8,"ifo,Ogun state"
Emperor G And Son Properties Consultant,"Plot24,iyana Ilogbo Road, Ifo 112104, Ogun State, Nigeria",0802 398 9429,,,False,https://www.google.com/maps/place/?q=place_id:ChIJDevKMryfOxARwnC7cgihido,"ifo,Ogun state"
Adex And Associate,"41,Lagos Abeokuta Motor Road, Olambe, Ifo 110106, Ogun State, Nigeria",0802 371 9765,,,False,https://www.google.com/maps/place/?q=place_id:ChIJcbmcoMelOxARn-BlOlio-tc,"ifo,Ogun state"
A And O Real Estate Limited,"Oke Ayo Street, Magboro Rd, Ofada 112107, Ogun State, Nigeria",0803 306 3135,,,False,https://www.google.com/maps/place/?q=place_id:ChIJK8EOr02VOxARBauMPPpLSHU,"ifo,Ogun state"
TUTU PROPERTIES,"24/29, owotutu road, Ilepa-Igusi, Local government, Ifo 112104, Ogun State, Nigeria",0802 412 4559,,1.0,,https://www.google.com/maps/place/?q=place_id:ChIJQVrHvjWjOxAR4bDxIkj-KPI,"ifo,Ogun state"
Real Estate Office,"No 2, Gbirinmi Road, powerline bus stop Gbirinmi, powerline, Ifako-Ijaiye, Lagos 101232, Lagos, Nigeria",,,5.0,False,https://www.google.com/maps/place/?q=place_id:ChIJ61W4Z-iWOxARMbREfNs7E3w,"ifo,Ogun state"
International Property,"25 Ajoke Osho St, off Olaniyi Street, Abule Egba, Ojokoro 102213, Lagos, Nigeria",0803 477 3683,,5.0,True,https://www.google.com/maps/place/?q=place_id:ChIJaWEBlP-XOxARldxwI1wcQjQ,"ifo,Ogun state"
ASKARIOT HOMES LTD.,"ASKARIOT HOMES LTD 8, Kadiri Adebambo Street AIT Alagbado side, local government, Amikanle Rd, Alagbado, Lagos 100314, Lagos, Nigeria",0707 297 5612,,4.9,False,https://www.google.com/maps/place/?q=place_id:ChIJY-_qo12ZOxARpshkQYoM6po,"ifo,Ogun state"
BAA Audu Realtors,"Plot 60 Nureni Yusuf, Drive Kollington, Alagbado, Lagos 101232, Lagos, Nigeria",0802 055 4861,,5.0,False,https://www.google.com/maps/place/?q=place_id:ChIJoxm5YVCXOxARNuOXzLU__ac,"ifo,Ogun state"
Fela Nelson Estate,"Fela Nelson Estate, Magboro 121101, Ogun State, Nigeria",0805 836 2507,,5.0,True,https://www.google.com/maps/place/?q=place_id:ChIJ3TyI9YPrOxAR2CJ6dgGFqDE,"ifo,Ogun state"
HARUNA REAL ESTATE AGENT,"NO 57, OWOKONIRAN, YUSUF ROAD, KOLA, AGBADO, Ifako-Ijaiye, IKEJA 300001, Ogun State, Nigeria",0817 441 0039,,4.5,True,https://www.google.com/maps/place/?q=place_id:ChIJ2dSXDgWXOxARXUXoTZ9ROAM,"ifo,Ogun state"
Properties lands and Houses by HavillahRealtors,"32 Obafalabi St, Ojodu, Ojodu Berger 101233, Lagos, Nigeria",0903 807 4516,https://havillahrealtors.com/,4.9,False,https://www.google.com/maps/place/?q=place_id:ChIJ7-YaGQCTOxARj2rXwB5vNHY,"ifo,Ogun state"
Adex Real Estate Services,"45,Orudu, Road, Adiyan 112105, Ogun State, Nigeria",0805 633 1970,,,False,https://www.google.com/maps/place/?q=place_id:ChIJ4_fXac29OxARtvLtBVKMYJs,"ifo,Ogun state"
God's Grace Properties (Management & Consultant),"Maweri Town, (1. VG Estate, Maweri, Opic Estate, Ogun State), Tapa 121101, Ogun State, Nigeria",0806 255 2595,http://nigeriaproperties.wordpress.com/,3.0,False,https://www.google.com/maps/place/?q=place_id:ChIJvRTICV_rOxARMZVC7N0usjI,"ifo,Ogun state"
Tunde Surveyors,"56 Abule Road, Ifo 112105, Ogun State, Nigeria",0803 961 3400,,,False,https://www.google.com/maps/place/?q=place_id:ChIJC8fwOJyjOxARWedEycymjdA,"ifo,Ogun state"
Patrick Ogunjobi & Co,"32, Adetoro Adelaja street Magodo Phase 2-ketu Lagos NG, Ikosi, Ikeja 100242, Lagos, Nigeria",0803 402 9926,https://patrickogunjobiandco.com/,4.2,False,https://www.google.com/maps/place/?q=place_id:ChIJOXo5COCTOxARpKvvdwxKxBk,"ifo,Ogun state"
Cubic Real Estate,"Ifo, 21 Desmond St, Agege 112107, Ogun State, Nigeria",0705 369 9868,,,False,https://www.google.com/maps/place/?q=place_id:ChIJ9VZSnmyVOxAROhwVzNVBq0Q,"ifo,Ogun state"
HomExperts subsidiary of Technology Transformation Ltd,"823 Ifeanyi Ubah Cres, Olowora, Lagos 105102, Lagos, Nigeria",0806 030 4609,,5.0,False,https://www.google.com/maps/place/?q=place_id:ChIJO6AloJOTOxARR7kcN-CQd4A,"ifo,Ogun state"
SOB BENTOLA GLOBAL RESOURCES LTD,"Km 6 Agbado-Ijoko Road, ,Ijoko, Lemode, Ifo 112104, Ogun State, Nigeria",0802 322 0519,,,False,https://www.google.com/maps/place/?q=place_id:ChIJyydTwh6XOxARn0YWi7Bkrws,"ifo,Ogun state"
FFG Properties,"1 Glory of God Street, Oke-Oko, via Adiyan Gasline, Orudu 112104, Ogun State, Nigeria",,,3.0,,https://www.google.com/maps/place/?q=place_id:ChIJw8wOom29OxARFWG15rYQmyw,"ifo,Ogun state"
Olaosebikanproperty consultant,"17 Arifa-Nla St, Akute, Ifo 102213, Ogun State, Nigeria",0803 496 6871,,,,https://www.google.com/maps/place/?q=place_id:ChIJm5rLwoCXOxAR8aY-je7VpOM,"ifo,Ogun state"
Seantech Realty,"88 Ojodu Akute road, Ajayi farm bus stop, Alagbole, Iju, Ajuwon/Akute 240105, Ogun State, Nigeria",0905 812 7675,,5.0,False,https://www.google.com/maps/place/?q=place_id:ChIJe-ctSZuVOxARNmNue1q-qss,"ifo,Ogun state"
Royal Mathro Real Estates,"Obadore Market, QGG3+RVW, Simawa - Likosi Rd, Sagamu 121000, Ogun State, Nigeria",0805 300 9161,,5.0,True,https://www.google.com/maps/place/?q=place_id:ChIJ_VUf4yrDOxARN5c8iM2vcOU,"ifo,Ogun state"
Aina Ogundele And Sons Investment Limited,"5 Osho Olarogun Avenue, Ifo 112105, Ogun State, Nigeria",0803 409 1976,,,False,https://www.google.com/maps/place/?q=place_id:ChIJJ178VzejOxARcnOQgvWXvas,"ifo,Ogun state"
vickad Realtors,"Magboro main road, Magboro 110150, Ogun State, Nigeria",0906 468 8313,,4.3,False,https://www.google.com/maps/place/?q=place_id:ChIJ00ON5hKVOxARlcZ95O9TTb4,"ifo,Ogun state"
I.M.E Properties,"1 ADEBOKOLA RD Ibafo, Lagos Ibadan Express Way Ogun State NG, Lagos - Ibadan Expy, off LION POWER, Mowe, Owode 110113, Ogun State, Nigeria",0802 720 6642,,5.0,True,https://www.google.com/maps/place/?q=place_id:ChIJJ9MA9rjBOxARvmx1b7SEmdg,"ifo,Ogun state"
APEXFORTE PROPERTIES AND INVESTMENT LIMITED,"6 Latona Street, Mowe, Obafemi Owode 110113, Ogun State, Nigeria",0807 542 3009,,4.9,False,https://www.google.com/maps/place/?q=place_id:ChIJvzLfYU7BOxARVFsu57s0GYg,"ifo,Ogun state"
FAREEDA HOMES AND PROPERTIES,"By Olowotedo, by Total Filling Station, Bus-stop, 36 Orimerunmu Rd, Mowe, Obafemi Owode 110113, Ogun State, Nigeria",0806 297 8373,,4.7,False,https://www.google.com/maps/place/?q=place_id:ChIJd6ugnkK_OxARBT0u41RdeNk,"ifo,Ogun state"
Estate,"N0 6 Liyan Modu close, Igodo Island Estate, Magboro 112107, Ogun State, Nigeria",0805 542 9186,,3.3,False,https://www.google.com/maps/place/?q=place_id:ChIJURgMK5aVOxAR-XLOVcvtpu8,"ifo,Ogun state"
Nobmark Properties,"4 Itelorun Close, Off Alhaji Jimoh Street, Adeniyi Jones, Oba Akran, Ikeja 101233, Lagos, Nigeria",0806 027 8188,,5.0,False,https://www.google.com/maps/place/?q=place_id:ChIJ91uGBu2TOxARRDUIm_SFoWE,"ifo,Ogun state"
Anifowosha Mega Planet,"Isalegbeyin, 49B Obafemi Awolowo Ave, Moboluwaduro CDA, Ifo 112105, Ogun State, Nigeria",0803 077 2836,,,False,https://www.google.com/maps/place/?q=place_id:ChIJhekpYBajOxARWSLAnyPE4-8,"ifo,Ogun state"
Grands Rois Verified Properties Within Ltd,"1 Unity Estate Before Boycarr, along Mowe Ofada Express road, Ofada 110106, Ogun State, Nigeria",0915 853 3270,,5.0,False,https://www.google.com/maps/place/?q=place_id:ChIJ7-JMa67BOxAR253-Z_08nqw,"ifo,Ogun state"
Prince Olu-Omo Estate Agent,"Ibafo 110113, Ogun State, Nigeria",0806 981 4149,,,True,https://www.google.com/maps/place/?q=place_id:ChIJ3VatdkvBOxARskjYiPCphyQ,"ifo,Ogun state"
Bakao Ventures,"1,Big Mummy Street Ajowa Estate, Ifo 112105, Ogun State, Nigeria",0803 704 3018,,,False,https://www.google.com/maps/place/?q=place_id:ChIJ0YhYA8ylOxARJfnMPlyWmdw,"ifo,Ogun state"
INNOHEES ENTERPRISES,"27 Adetutu Rd, Mowe, Obafemi Owode 110113, Ogun State, Nigeria",0813 533 1967,http://innohees.blogspot.com/,4.3,True,https://www.google.com/maps/place/?q=place_id:ChIJ3yuu3uHHOxARVYs7d-T467I,"ifo,Ogun state"
khunlex building contractor,"klm2 Lagos Abeokuta express road,kere bus stop eleyele town, Ifo 112105, Ogun State, Nigeria",,https://www.facebook.com/profile.php?id=100063945076763,,True,https://www.google.com/maps/place/?q=place_id:ChIJMW3I3_aROxARtbguykplPaI,"ifo,Ogun state"
SAPProperty,"6 Odudua Close Arifanla, Akute - Ajuwon Rd, Ijegun, Ifo 102213, Ogun State, Nigeria",0810 926 1077,,,False,https://www.google.com/maps/place/?q=place_id:ChIJ3e53NFaFOxAR62ijxXeP7VU,"ifo,Ogun state"
Xtrim Properties,"5 Daranijo St, Aguda, Ikeja 101233, Lagos, Nigeria",0818 812 7092,,4.9,False,https://www.google.com/maps/place/?q=place_id:ChIJi116BoCTOxARwZJKGUISzpk,"ifo,Ogun state"
A A Estate Agent,"1,Ore-Oluwa Street Matogun Foursquare Bus Stop Ifo, Oke-Aro Rd, Ifako-Ijaiye, Agege 112105, Ogun State, Nigeria",0803 847 0131,,,False,https://www.google.com/maps/place/?q=place_id:ChIJSSj2eX6XOxARVNTrxGrlKvo,"ifo,Ogun state"
Chaman Properties,"L.G.A, Havana Estate, 5 Olalekan Ogunjobi Ave, Arepo Rd, Obafemi Owode 110106, Ogun State, Nigeria",0806 555 3671,http://www.chamanproperties.com/,4.9,False,https://www.google.com/maps/place/?q=place_id:ChIJCRklaQWVOxARx4qqtDO5dKA,"ifo,Ogun state"
